protocol,fold,seed,object_code,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
id,0,70,bbc6,120.0,0.0,29.99998664855957,0.0,-29.99998664855957,-30.0,0.0,0.0,1.0,1.0
id,0,70,bbc6,120.0,180.0,90.0,60.000003814697266,-29.999996185302734,-30.0,0.0,0.0,0.0,0.0
id,0,70,bbc6,150.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bbc6,150.0,240.0,0.0,60.000003814697266,60.000003814697266,0.0,180.0,1.0,0.0,-1.0
id,0,70,bc2c,30.0,30.0,14.870942115783691,180.0,165.1290578842163,120.0,150.0,0.0,0.0,0.0
id,0,70,bc2c,30.0,210.0,57.7581901550293,60.000003814697266,2.2418136596679688,0.0,30.0,0.0,0.0,0.0
id,0,70,bc2c,60.0,90.0,120.00000762939453,120.00000762939453,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,bc2c,60.0,270.0,0.0,30.000001907348633,30.000001907348633,30.0,0.0,1.0,0.0,-1.0
id,0,70,bc2c,90.0,150.0,30.000001907348633,30.000001907348633,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,bc2c,90.0,330.0,60.00000762939453,30.00000762939453,-30.0,0.0,-30.0,0.0,0.0,0.0
id,0,70,bc2c,120.0,30.0,82.81924438476562,51.31781005859375,-31.501434326171875,-60.0,0.0,0.0,0.0,0.0
id,0,70,bc2c,120.0,210.0,120.00000762939453,82.81924438476562,-37.180763244628906,60.0,-120.0,0.0,0.0,0.0
id,0,70,bc2c,150.0,90.0,57.7581901550293,122.24180603027344,64.48361587524414,120.0,-120.0,0.0,0.0,0.0
id,0,70,bc2c,150.0,270.0,165.12905883789062,122.24180603027344,-42.88725280761719,0.0,-120.0,0.0,0.0,0.0
id,0,71,b7c1,30.0,0.0,0.0,30.000001907348633,30.000001907348633,30.0,0.0,1.0,0.0,-1.0
id,0,71,b7c1,30.0,180.0,0.0,60.000003814697266,60.000003814697266,0.0,180.0,1.0,0.0,-1.0
id,0,71,b7c1,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b7c1,60.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b7c1,90.0,120.0,120.00000762939453,120.00000762939453,0.0,0.0,0.0,0.0,0.0,0.0
id,0,71,b7c1,90.0,300.0,0.0,60.000003814697266,60.000003814697266,0.0,60.0,1.0,0.0,-1.0
id,0,71,b7c1,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b7c1,120.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b7c1,150.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b7c1,150.0,240.0,0.0,60.000003814697266,60.000003814697266,0.0,180.0,1.0,0.0,-1.0
id,0,71,b7fd,30.0,30.0,57.7581901550293,0.0,-57.7581901550293,0.0,-150.0,0.0,1.0,1.0
id,0,71,b7fd,30.0,210.0,28.95502281188965,0.0,-28.95502281188965,0.0,-60.0,0.0,1.0,1.0
id,0,71,b7fd,60.0,90.0,0.0,25.905075073242188,25.905075073242188,0.0,30.0,1.0,0.0,-1.0
id,0,71,b7fd,60.0,270.0,0.0,113.54812622070312,113.54812622070312,0.0,150.0,1.0,0.0,-1.0
id,0,71,b7fd,90.0,150.0,180.0,30.000001907348633,-149.99999809265137,0.0,-150.0,0.0,0.0,0.0
id,0,71,b7fd,90.0,330.0,0.0,30.00000762939453,30.00000762939453,0.0,30.0,1.0,0.0,-1.0
id,0,71,b7fd,120.0,30.0,82.81924438476562,82.81924438476562,0.0,0.0,0.0,0.0,0.0,0.0
id,0,71,b7fd,120.0,210.0,128.6822052001953,180.0,51.31779479980469,0.0,60.0,0.0,0.0,0.0
id,0,71,b7fd,150.0,90.0,0.0,120.00000762939453,120.00000762939453,120.0,0.0,1.0,0.0,-1.0
id,0,71,b7fd,150.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,30.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,30.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,60.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,60.0,300.0,128.68218994140625,0.0,-128.68218994140625,-60.0,-120.0,0.0,1.0,1.0
id,0,71,b80b,90.0,0.0,180.0,0.0,-180.0,0.0,-180.0,0.0,1.0,1.0
id,0,71,b80b,90.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,120.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,120.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,150.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b80b,150.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,30.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,30.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,60.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,60.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,90.0,30.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
id,0,71,b812,90.0,210.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,120.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,120.0,270.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,150.0,150.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b812,150.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b827,30.0,120.0,57.7581901550293,0.0,-57.7581901550293,0.0,-150.0,0.0,1.0,1.0
id,0,71,b827,30.0,300.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,71,b827,60.0,0.0,0.0,30.000001907348633,30.000001907348633,30.0,0.0,1.0,0.0,-1.0
id,0,71,b827,60.0,180.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
