arm,arm_display,true_index,pred_index,theta_true_deg,phi_true_deg,theta_pred_deg,phi_pred_deg,count,true_direction_total,row_rate
frequency,Frequency MLP,4,56,30.0,120.0,150.0,240.0,7,140,0.05
frequency,Frequency MLP,4,57,30.0,120.0,150.0,270.0,1,140,0.007142857142857143
frequency,Frequency MLP,4,58,30.0,120.0,150.0,300.0,0,140,0.0
frequency,Frequency MLP,4,59,30.0,120.0,150.0,330.0,0,140,0.0
frequency,Frequency MLP,5,0,30.0,150.0,30.0,0.0,2,140,0.014285714285714285
frequency,Frequency MLP,5,1,30.0,150.0,30.0,30.0,0,140,0.0
frequency,Frequency MLP,5,2,30.0,150.0,30.0,60.0,0,140,0.0
frequency,Frequency MLP,5,3,30.0,150.0,30.0,90.0,0,140,0.0
frequency,Frequency MLP,5,4,30.0,150.0,30.0,120.0,0,140,0.0
frequency,Frequency MLP,5,5,30.0,150.0,30.0,150.0,104,140,0.7428571428571429
frequency,Frequency MLP,5,6,30.0,150.0,30.0,180.0,3,140,0.02142857142857143
frequency,Frequency MLP,5,7,30.0,150.0,30.0,210.0,0,140,0.0
frequency,Frequency MLP,5,8,30.0,150.0,30.0,240.0,0,140,0.0
frequency,Frequency MLP,5,9,30.0,150.0,30.0,270.0,0,140,0.0
frequency,Frequency MLP,5,10,30.0,150.0,30.0,300.0,0,140,0.0
frequency,Frequency MLP,5,11,30.0,150.0,30.0,330.0,6,140,0.04285714285714286
frequency,Frequency MLP,5,12,30.0,150.0,60.0,0.0,1,140,0.007142857142857143
frequency,Frequency MLP,5,13,30.0,150.0,60.0,30.0,0,140,0.0
frequency,Frequency MLP,5,14,30.0,150.0,60.0,60.0,0,140,0.0
frequency,Frequency MLP,5,15,30.0,150.0,60.0,90.0,0,140,0.0
frequency,Frequency MLP,5,16,30.0,150.0,60.0,120.0,0,140,0.0
frequency,Frequency MLP,5,17,30.0,150.0,60.0,150.0,1,140,0.007142857142857143
frequency,Frequency MLP,5,18,30.0,150.0,60.0,180.0,2,140,0.014285714285714285
frequency,Frequency MLP,5,19,30.0,150.0,60.0,210.0,0,140,0.0
frequency,Frequency MLP,5,20,30.0,150.0,60.0,240.0,0,140,0.0
frequency,Frequency MLP,5,21,30.0,150.0,60.0,270.0,0,140,0.0
frequency,Frequency MLP,5,22,30.0,150.0,60.0,300.0,0,140,0.0
frequency,Frequency MLP,5,23,30.0,150.0,60.0,330.0,2,140,0.014285714285714285
frequency,Frequency MLP,5,24,30.0,150.0,90.0,0.0,0,140,0.0
frequency,Frequency MLP,5,25,30.0,150.0,90.0,30.0,0,140,0.0
frequency,Frequency MLP,5,26,30.0,150.0,90.0,60.0,0,140,0.0
frequency,Frequency MLP,5,27,30.0,150.0,90.0,90.0,0,140,0.0
frequency,Frequency MLP,5,28,30.0,150.0,90.0,120.0,0,140,0.0
frequency,Frequency MLP,5,29,30.0,150.0,90.0,150.0,0,140,0.0
frequency,Frequency MLP,5,30,30.0,150.0,90.0,180.0,0,140,0.0
frequency,Frequency MLP,5,31,30.0,150.0,90.0,210.0,0,140,0.0
frequency,Frequency MLP,5,32,30.0,150.0,90.0,240.0,0,140,0.0
frequency,Frequency MLP,5,33,30.0,150.0,90.0,270.0,0,140,0.0
