arm,arm_display,entity_type,entity,object_code,theta_true_deg,phi_true_deg,prediction_rows,tail_gt90_count,tail_gt90_rate,tail_ge150_rate,exact_antipodal_rate,tail_rank,share_of_arm_tail
hann_ifft,Hann-IFFT MLP,direction,t030_p060,,30.0,60.0,140,38,0.2714285714285714,0.11428571428571428,0.0,16,0.020441097364174286
hann_ifft,Hann-IFFT MLP,direction,t030_p330,,30.0,330.0,140,38,0.2714285714285714,0.04285714285714286,0.0,17,0.020441097364174286
hann_ifft,Hann-IFFT MLP,direction,t060_p120,,60.0,120.0,140,38,0.2714285714285714,0.02142857142857143,0.007142857142857143,18,0.020441097364174286
hann_ifft,Hann-IFFT MLP,direction,t030_p240,,30.0,240.0,140,36,0.2571428571428571,0.11428571428571428,0.0,19,0.019365250134480903
hann_ifft,Hann-IFFT MLP,direction,t150_p060,,150.0,60.0,140,35,0.25,0.15714285714285714,0.0,20,0.018827326519634213
hann_ifft,Hann-IFFT MLP,direction,t150_p330,,150.0,330.0,140,35,0.25,0.08571428571428572,0.0,21,0.018827326519634213
hann_ifft,Hann-IFFT MLP,direction,t060_p240,,60.0,240.0,140,33,0.2357142857142857,0.06428571428571428,0.007142857142857143,22,0.01775147928994083
hann_ifft,Hann-IFFT MLP,direction,t120_p270,,120.0,270.0,140,32,0.22857142857142856,0.1,0.1,23,0.017213555675094135
hann_ifft,Hann-IFFT MLP,direction,t120_p090,,120.0,90.0,140,31,0.22142857142857142,0.1357142857142857,0.09285714285714286,24,0.016675632060247445
hann_ifft,Hann-IFFT MLP,direction,t150_p240,,150.0,240.0,140,31,0.22142857142857142,0.03571428571428571,0.0,25,0.016675632060247445
hann_ifft,Hann-IFFT MLP,direction,t060_p150,,60.0,150.0,140,30,0.21428571428571427,0.09285714285714286,0.07857142857142857,26,0.01613770844540075
hann_ifft,Hann-IFFT MLP,direction,t150_p090,,150.0,90.0,140,30,0.21428571428571427,0.1357142857142857,0.08571428571428572,27,0.01613770844540075
hann_ifft,Hann-IFFT MLP,direction,t120_p210,,120.0,210.0,140,29,0.20714285714285716,0.02142857142857143,0.014285714285714285,28,0.015599784830554062
hann_ifft,Hann-IFFT MLP,direction,t060_p210,,60.0,210.0,140,28,0.2,0.03571428571428571,0.03571428571428571,29,0.01506186121570737
hann_ifft,Hann-IFFT MLP,direction,t120_p300,,120.0,300.0,140,28,0.2,0.05,0.05,30,0.01506186121570737
hann_ifft,Hann-IFFT MLP,direction,t060_p330,,60.0,330.0,140,27,0.19285714285714287,0.05,0.05,31,0.014523937600860678
hann_ifft,Hann-IFFT MLP,direction,t150_p150,,150.0,150.0,140,27,0.19285714285714287,0.04285714285714286,0.007142857142857143,32,0.014523937600860678
hann_ifft,Hann-IFFT MLP,direction,t060_p060,,60.0,60.0,140,26,0.18571428571428572,0.06428571428571428,0.02142857142857143,33,0.013986013986013986
hann_ifft,Hann-IFFT MLP,direction,t120_p150,,120.0,150.0,140,26,0.18571428571428572,0.04285714285714286,0.04285714285714286,34,0.013986013986013986
hann_ifft,Hann-IFFT MLP,direction,t060_p090,,60.0,90.0,140,24,0.17142857142857143,0.12142857142857143,0.1,35,0.012910166756320602
hann_ifft,Hann-IFFT MLP,direction,t060_p300,,60.0,300.0,140,24,0.17142857142857143,0.02857142857142857,0.02142857142857143,36,0.012910166756320602
hann_ifft,Hann-IFFT MLP,direction,t120_p240,,120.0,240.0,140,23,0.16428571428571428,0.014285714285714285,0.0,37,0.01237224314147391
hann_ifft,Hann-IFFT MLP,direction,t150_p270,,150.0,270.0,140,23,0.16428571428571428,0.05714285714285714,0.05714285714285714,38,0.01237224314147391
hann_ifft,Hann-IFFT MLP,direction,t030_p090,,30.0,90.0,140,22,0.15714285714285714,0.07857142857142857,0.007142857142857143,39,0.011834319526627219
hann_ifft,Hann-IFFT MLP,direction,t030_p210,,30.0,210.0,140,22,0.15714285714285714,0.08571428571428572,0.0,40,0.011834319526627219
hann_ifft,Hann-IFFT MLP,direction,t060_p030,,60.0,30.0,140,22,0.15714285714285714,0.007142857142857143,0.007142857142857143,41,0.011834319526627219
hann_ifft,Hann-IFFT MLP,direction,t120_p060,,120.0,60.0,140,22,0.15714285714285714,0.04285714285714286,0.007142857142857143,42,0.011834319526627219
hann_ifft,Hann-IFFT MLP,direction,t030_p270,,30.0,270.0,140,20,0.14285714285714285,0.05,0.02857142857142857,43,0.010758472296933835
hann_ifft,Hann-IFFT MLP,direction,t120_p330,,120.0,330.0,140,20,0.14285714285714285,0.007142857142857143,0.0,44,0.010758472296933835
hann_ifft,Hann-IFFT MLP,direction,t150_p210,,150.0,210.0,140,20,0.14285714285714285,0.03571428571428571,0.0,45,0.010758472296933835
hann_ifft,Hann-IFFT MLP,direction,t030_p030,,30.0,30.0,140,15,0.10714285714285714,0.02142857142857143,0.0,46,0.008068854222700376
hann_ifft,Hann-IFFT MLP,direction,t060_p000,,60.0,0.0,140,15,0.10714285714285714,0.07857142857142857,0.05,47,0.008068854222700376
hann_ifft,Hann-IFFT MLP,direction,t120_p000,,120.0,0.0,140,15,0.10714285714285714,0.04285714285714286,0.0,48,0.008068854222700376
hann_ifft,Hann-IFFT MLP,direction,t030_p120,,30.0,120.0,140,14,0.1,0.04285714285714286,0.02857142857142857,49,0.007530930607853685
hann_ifft,Hann-IFFT MLP,direction,t120_p030,,120.0,30.0,140,14,0.1,0.0,0.0,50,0.007530930607853685
hann_ifft,Hann-IFFT MLP,direction,t120_p180,,120.0,180.0,140,14,0.1,0.0,0.0,51,0.007530930607853685
hann_ifft,Hann-IFFT MLP,direction,t150_p120,,150.0,120.0,140,13,0.09285714285714286,0.007142857142857143,0.0,52,0.006993006993006993
hann_ifft,Hann-IFFT MLP,direction,t030_p300,,30.0,300.0,140,12,0.08571428571428572,0.05714285714285714,0.0,53,0.006455083378160301
hann_ifft,Hann-IFFT MLP,direction,t060_p180,,60.0,180.0,140,11,0.07857142857142857,0.0,0.0,54,0.005917159763313609
hann_ifft,Hann-IFFT MLP,direction,t150_p030,,150.0,30.0,140,11,0.07857142857142857,0.04285714285714286,0.0,55,0.005917159763313609
