pair,method_a,method_b,metric,object_code,direction_count,delta_b_minus_a
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b8ed,60,-0.05476190476190476
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b905,60,-0.0380952380952381
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b943,60,-0.011904761904761915
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b974,60,-0.019047619047619046
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b979,60,-0.06190476190476191
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b97b,60,-0.0619047619047619
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b9e6,60,-0.06904761904761904
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,ba0f,60,-0.14761904761904757
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,baa9,60,-0.004761904761904762
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,bb26,60,-0.04285714285714285
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,bb7c,60,-0.08333333333333331
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,bb7d,60,-0.026190476190476195
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,bbc6,60,-0.0023809523809523686
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,bc2c,60,-0.030952380952380953
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b7c1,60,0.030952380952380946
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b7fd,60,0.02619047619047619
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b80b,60,0.030952380952380953
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b812,60,0.023809523809523805
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b827,60,0.04523809523809523
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b871,60,0.007142857142857144
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b8ed,60,0.08333333333333333
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b905,60,0.021428571428571425
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b943,60,-0.00238095238095238
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b974,60,-0.004761904761904762
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b979,60,0.10714285714285714
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b97b,60,0.05476190476190477
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,b9e6,60,0.04523809523809524
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,ba0f,60,0.10476190476190476
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,baa9,60,0.007142857142857143
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,bb26,60,-0.03809523809523809
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,bb7c,60,0.021428571428571425
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,bb7d,60,-0.00238095238095238
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,bbc6,60,-0.007142857142857148
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_gt90,bc2c,60,-0.08571428571428572
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b7c1,60,0.011904761904761902
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b7fd,60,0.00238095238095238
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b80b,60,0.026190476190476188
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b812,60,0.023809523809523805
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b827,60,0.019047619047619046
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b871,60,-0.014285714285714287
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b8ed,60,0.05476190476190476
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b905,60,0.014285714285714284
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b943,60,0.007142857142857142
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b974,60,-0.0071428571428571435
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b979,60,-0.016666666666666666
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b97b,60,0.08095238095238094
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,b9e6,60,0.04285714285714285
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,ba0f,60,0.028571428571428567
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,baa9,60,0.0047619047619047615
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,bb26,60,0.007142857142857145
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,bb7c,60,0.00476190476190476
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,bb7d,60,-0.009523809523809523
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,tail_ge150,bbc6,60,-0.028571428571428574
