arm,arm_display,theta_true_deg,phi_true_deg,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180,direction_index
frequency,Frequency MLP,150.0,300.0,140,20,7,21.89643818310329,0.0,77.49607849121094,138.59039306640625,0.7357142857142858,0.08571428571428572,0.04285714285714286,0.007142857142857143,0.0,58
frequency,Frequency MLP,150.0,330.0,140,20,7,29.789452035086494,0.0,128.68218994140625,150.0,0.7142857142857143,0.2,0.05,0.02142857142857143,0.0,59
rect_ifft,Rect-IFFT MLP,30.0,0.0,140,20,7,26.571429130009243,0.0,90.0,150.0,0.6714285714285714,0.07857142857142857,0.07142857142857142,0.0,0.02142857142857143,0
rect_ifft,Rect-IFFT MLP,30.0,30.0,140,20,7,19.850899035590036,0.0,102.50392150878906,151.04498291015625,0.7642857142857142,0.1,0.06428571428571428,0.007142857142857143,0.007142857142857143,1
rect_ifft,Rect-IFFT MLP,30.0,60.0,140,20,7,29.420218924113684,0.0,128.68218994140625,151.04498291015625,0.7285714285714285,0.18571428571428572,0.07142857142857142,0.04285714285714286,0.0,2
rect_ifft,Rect-IFFT MLP,30.0,90.0,140,20,7,41.29733646256583,0.0,180.0,180.0,0.6428571428571429,0.19285714285714287,0.15714285714285714,0.014285714285714285,0.14285714285714285,3
rect_ifft,Rect-IFFT MLP,30.0,120.0,140,20,7,38.22901795932225,0.0,128.68218994140625,151.04498291015625,0.6357142857142857,0.24285714285714285,0.07142857142857142,0.007142857142857143,0.007142857142857143,4
rect_ifft,Rect-IFFT MLP,30.0,150.0,140,20,7,22.9689439364842,0.0,90.0,128.68218994140625,0.7142857142857143,0.07857142857142857,0.02142857142857143,0.0,0.0,5
rect_ifft,Rect-IFFT MLP,30.0,180.0,140,20,7,15.426728343963623,0.0,30.000001907348633,120.00000762939453,0.75,0.05714285714285714,0.02142857142857143,0.0,0.02142857142857143,6
rect_ifft,Rect-IFFT MLP,30.0,210.0,140,20,7,20.745613990511213,0.0,90.0,128.68218994140625,0.75,0.09285714285714286,0.04285714285714286,0.0,0.0,7
rect_ifft,Rect-IFFT MLP,30.0,240.0,140,20,7,33.83938847950527,0.0,151.04498291015625,165.12905883789062,0.6785714285714286,0.17142857142857143,0.11428571428571428,0.05,0.007142857142857143,8
rect_ifft,Rect-IFFT MLP,30.0,270.0,140,20,7,28.33928487641471,0.0,120.00000762939453,165.12905883789062,0.7214285714285714,0.14285714285714285,0.05714285714285714,0.05,0.007142857142857143,9
rect_ifft,Rect-IFFT MLP,30.0,300.0,140,20,7,22.060822159903392,0.0,64.34110260009766,151.04498291015625,0.7214285714285714,0.07857142857142857,0.06428571428571428,0.0,0.0,10
rect_ifft,Rect-IFFT MLP,30.0,330.0,140,20,7,27.11736822128296,0.0,122.24180603027344,128.68218994140625,0.7214285714285714,0.19285714285714287,0.02142857142857143,0.0,0.0,11
rect_ifft,Rect-IFFT MLP,60.0,0.0,140,20,7,26.241651589529855,0.0,120.00000762939453,180.0,0.7,0.15,0.05714285714285714,0.0,0.05714285714285714,12
rect_ifft,Rect-IFFT MLP,60.0,30.0,140,20,7,16.304185935429164,0.0,82.81924438476562,90.0,0.7785714285714286,0.03571428571428571,0.0,0.0,0.0,13
rect_ifft,Rect-IFFT MLP,60.0,60.0,140,20,7,26.403453758784703,0.0,128.68218994140625,128.68218994140625,0.6785714285714286,0.15,0.007142857142857143,0.0,0.0,14
rect_ifft,Rect-IFFT MLP,60.0,90.0,140,20,7,29.416510949816022,0.0,120.00000762939453,180.0,0.6928571428571428,0.15,0.08571428571428572,0.0,0.05714285714285714,15
rect_ifft,Rect-IFFT MLP,60.0,120.0,140,20,7,32.80879305430821,0.0,120.00000762939453,128.6822052001953,0.6285714285714286,0.22857142857142856,0.0,0.0,0.0,16
rect_ifft,Rect-IFFT MLP,60.0,150.0,140,20,7,33.03521291187831,0.0,128.6822052001953,128.6822052001953,0.65,0.16428571428571428,0.04285714285714286,0.0,0.02142857142857143,17
rect_ifft,Rect-IFFT MLP,60.0,180.0,140,20,7,14.5912294115339,0.0,60.000003814697266,90.0,0.7428571428571429,0.02142857142857143,0.0,0.0,0.0,18
rect_ifft,Rect-IFFT MLP,60.0,210.0,140,20,7,51.08283113752093,25.905075073242188,120.00000762939453,154.0949249267578,0.4785714285714286,0.2785714285714286,0.05714285714285714,0.0,0.04285714285714286,19
rect_ifft,Rect-IFFT MLP,60.0,240.0,140,20,7,43.956932176862445,0.0,128.6822052001953,128.6822052001953,0.5142857142857142,0.2785714285714286,0.03571428571428571,0.0,0.007142857142857143,20
rect_ifft,Rect-IFFT MLP,60.0,270.0,140,20,7,36.689927550724576,0.0,120.00000762939453,154.09490966796875,0.6285714285714286,0.22142857142857142,0.08571428571428572,0.0,0.02857142857142857,21
rect_ifft,Rect-IFFT MLP,60.0,300.0,140,20,7,31.196644496917724,0.0,128.68218994140625,130.50535583496094,0.7071428571428572,0.22857142857142856,0.007142857142857143,0.0,0.0,22
rect_ifft,Rect-IFFT MLP,60.0,330.0,140,20,7,31.286338342939104,0.0,102.50391387939453,128.6822052001953,0.6642857142857143,0.14285714285714285,0.02857142857142857,0.0,0.02142857142857143,23
