object_code,sample_id,theta_deg,phi_deg,frequency_ghz,etheta_real,etheta_imag,ephi_real,ephi_imag
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.34999999,0.236616686,0.105440103,-0.00112686178,-0.000553940888
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.36000001,0.289495975,0.0651711002,-0.00151380419,-0.000233663304
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.37,0.342585772,0.0143714864,-0.00181301311,0.000274029677
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.38,0.393606305,-0.0512292199,-0.00191927061,0.00091957947
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.38999999,0.434207797,-0.136370406,-0.00176538026,0.00159174565
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.40000001,0.449741393,-0.242140278,-0.00135381974,0.0021618132
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.41,0.42315644,-0.361492008,-0.000747436949,0.00253557065
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.41999999,0.342260599,-0.477092594,-3.00408628e-05,0.00267427182
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.43000001,0.207051754,-0.564105868,0.000727975159,0.00257349992
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.44,0.0331552587,-0.598035038,0.00146911643,0.00222710194
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.44999999,-0.151025593,-0.564274073,0.00211669062,0.00161720114
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.46000001,-0.312757403,-0.464371711,0.00254867552,0.000748800172
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.47,-0.425259769,-0.315676689,0.00261691143,-0.000294292724
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.47999999,-0.475002319,-0.144791037,0.00221757987,-0.00132234243
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.49000001,-0.463035583,0.0214450378,0.0013739022,-0.00207941001
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.5,-0.400829822,0.162888259,0.000272635167,-0.00234381622
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.50999999,-0.303893119,0.268328249,-0.000782795367,-0.00203823438
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.51999998,-0.186893687,0.333541185,-0.00148986594,-0.00128394144
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.52999997,-0.0621381775,0.357884824,-0.00167741743,-0.000361393089
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.54000002,0.0593056716,0.342213362,-0.00137952715,0.000409376371
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.55000001,0.166104585,0.289172292,-0.000811624748,0.000808996323
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.56,0.275583893,0.230003953,-0.00029248136,0.000903268694
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.56999999,0.364037603,0.129111737,7.06391656e-05,0.000698323129
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.57999998,0.415000349,-0.00534554664,0.000134072892,0.00040854438
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.58999997,0.416076332,-0.158317789,-4.84035845e-05,0.000288404699
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.60000002,0.361838937,-0.310564071,-0.000249310426,0.00047744764
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.61000001,0.254731894,-0.442275882,-0.00019942064,0.000903586741
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.62,0.104137093,-0.536228359,0.00024446036,0.00131070812
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.63,-0.0754337385,-0.579782903,0.000999578042,0.0014027399
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.63999999,-0.266171336,-0.565981328,0.00179294345,0.0010195045
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.64999998,-0.448661178,-0.494299412,0.00231542485,0.000232598744
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.66000003,-0.603810966,-0.371234357,0.00239525829,-0.000701474608
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.67000002,-0.715255678,-0.210198596,0.00207873411,-0.00149729324
b7c1,b7c1_pec_ti090_pi000,90.0,0.0,0.68000001,-0.771836281,-0.0299737062,0.00156850892,-0.00199808413
